lap,avg_speed,min_speed,max_brake,brake_start,brake_duration,sector_time,throttle_reapply,sector
1,40.68,14,0,,0,2.014,3270.98,10
1,40.68,14,0,,0,2.014,3270.98,11
2,136.19,84.47,0,,0,12.994,20.41,1
2,149.67,149.28,0,,0,6.006,561.01,2
2,149.69,149.28,0,,0,6.996,852.75,3
2,149.77,149.32,0,,0,10,1185.13,4
2,149.53,149.05,0,,0,8,1642.51,5
2,149.57,149.08,0,,0,10,2016.92,6
2,149.68,149.63,0,,0,1.012,2474.77,7
2,149.87,149.52,0,,0,4.994,2557.95,8
2,157.36,149.41,0,,0,4.994,2807.25,9
2,180.07,179.96,0,,0,4.004,3072.73,10
2,160.16,149.41,0,,0,17.996,2474.77,11
3,180.1,179.82,0,,0,9.02,100.71,1
3,179.9,179.72,0,,0,4.994,550.94,2
3,179.96,179.7,0,,0,5.984,850.32,3
3,180.07,179.86,0,,0,8.008,1198.07,4
3,180.14,179.95,0,,0,6.996,1647.34,5
3,179.9,179.75,0,,0,7.994,2047.99,6
3,179.95,179.8,0,,0,1,2496.68,7
3,180.1,180.02,0,,0,4,2596.13,8
3,180.06,179.86,0,,0,4,2844.59,9
3,180.02,179.92,0,,0,4,3093.92,10
3,180.05,179.8,0,,0,16,2496.68,11
